Latitude,Longitude,Cluster_ID,Trajet_Index,Vitesse_kmh,Charge_Norm,Description
-20.96073,-68.70917,Cluster 0 (ROUGE),0,32.4,2603.17,Trajet 0 | État: Vide. Identifié par IA.
-20.96917,-68.703118333,Cluster 0 (ROUGE),0,24.1,2602.45,Trajet 0 | État: Vide. Identifié par IA.
-20.969355,-68.704635,Cluster 0 (ROUGE),0,1.9,2628.74,Trajet 0 | État: Vide. Identifié par IA.
-20.969365,-68.704476667,Cluster 2 (VERT),1,10.7,2630.18,Trajet 1 | État: Chargé. Identifié par IA.
-20.972946667,-68.695955,Cluster 2 (VERT),1,12.0,2630.65,Trajet 1 | État: Chargé. Identifié par IA.
-20.959828333,-68.708358333,Cluster 2 (VERT),1,1.1,2608.11,Trajet 1 | État: Chargé. Identifié par IA.
-20.959876667,-68.708373333,Cluster 1 (BLEU),2,7.2,2606.48,Trajet 2 | État: Vide. Identifié par IA.
-20.970685,-68.71319,Cluster 1 (BLEU),2,34.3,2603.38,Trajet 2 | État: Vide. Identifié par IA.
-20.970908333,-68.711921667,Cluster 1 (BLEU),2,5.9,2628.17,Trajet 2 | État: Vide. Identifié par IA.
-20.970878333,-68.711781667,Cluster 2 (VERT),3,14.3,2628.78,Trajet 3 | État: Chargé. Identifié par IA.
-20.969803333,-68.716776667,Cluster 2 (VERT),3,11.5,2631.13,Trajet 3 | État: Chargé. Identifié par IA.
-20.977498333,-68.73546,Cluster 2 (VERT),3,6.3,2607.19,Trajet 3 | État: Chargé. Identifié par IA.
-20.977528333,-68.735578333,Cluster 2 (VERT),4,9.8,2606.05,Trajet 4 | État: Vide. Identifié par IA.
-20.958565,-68.707178333,Cluster 2 (VERT),4,0.0,2603.84,Trajet 4 | État: Vide. Identifié par IA.
-20.971883333,-68.701285,Cluster 2 (VERT),4,6.1,2621.3,Trajet 4 | État: Vide. Identifié par IA.
-20.971806667,-68.70138,Cluster 2 (VERT),5,10.9,2622.17,Trajet 5 | État: Chargé. Identifié par IA.
-20.973376667,-68.69578,Cluster 2 (VERT),5,13.0,2626.37,Trajet 5 | État: Chargé. Identifié par IA.
-20.959815,-68.708383333,Cluster 2 (VERT),5,1.3,2615.31,Trajet 5 | État: Chargé. Identifié par IA.
-20.95989,-68.708385,Cluster 2 (VERT),6,7.0,2614.3,Trajet 6 | État: Vide. Identifié par IA.
-20.969593333,-68.702583333,Cluster 2 (VERT),6,31.3,2606.23,Trajet 6 | État: Vide. Identifié par IA.
-20.971886667,-68.701266667,Cluster 2 (VERT),6,4.8,2627.63,Trajet 6 | État: Vide. Identifié par IA.
-20.971818333,-68.701331667,Cluster 2 (VERT),7,10.0,2627.88,Trajet 7 | État: Chargé. Identifié par IA.
-20.968441667,-68.697245,Cluster 2 (VERT),7,25.6,2629.8,Trajet 7 | État: Chargé. Identifié par IA.
-20.95984,-68.708366667,Cluster 2 (VERT),7,4.4,2606.52,Trajet 7 | État: Chargé. Identifié par IA.
-20.95992,-68.708383333,Cluster 2 (VERT),8,7.0,2605.26,Trajet 8 | État: Vide. Identifié par IA.
-20.976718333,-68.700358333,Cluster 2 (VERT),8,38.9,2603.36,Trajet 8 | État: Vide. Identifié par IA.
-20.972228333,-68.701493333,Cluster 2 (VERT),8,5.9,2625.74,Trajet 8 | État: Vide. Identifié par IA.
-20.972145,-68.701578333,Cluster 0 (ROUGE),9,11.1,2625.74,Trajet 9 | État: Chargé. Identifié par IA.
-20.974415,-68.695298333,Cluster 0 (ROUGE),9,14.1,2623.55,Trajet 9 | État: Chargé. Identifié par IA.
-20.959856667,-68.708365,Cluster 0 (ROUGE),9,1.9,2605.83,Trajet 9 | État: Chargé. Identifié par IA.
-20.959941667,-68.70837,Cluster 0 (ROUGE),10,7.2,2605.63,Trajet 10 | État: Vide. Identifié par IA.
-20.977968333,-68.72426,Cluster 0 (ROUGE),10,0.0,2596.36,Trajet 10 | État: Vide. Identifié par IA.
-20.97208,-68.701168333,Cluster 0 (ROUGE),10,1.3,2621.6,Trajet 10 | État: Vide. Identifié par IA.
-20.972026667,-68.701221667,Cluster 0 (ROUGE),11,6.9,2622.42,Trajet 11 | État: Chargé. Identifié par IA.
-20.971211667,-68.69555,Cluster 0 (ROUGE),11,12.2,2623.28,Trajet 11 | État: Chargé. Identifié par IA.
-20.959863333,-68.70834,Cluster 0 (ROUGE),11,4.4,2605.84,Trajet 11 | État: Chargé. Identifié par IA.
-20.959943333,-68.70836,Cluster 1 (BLEU),12,6.7,2605.05,Trajet 12 | État: Vide. Identifié par IA.
-20.976451667,-68.709118333,Cluster 1 (BLEU),12,29.3,2603.25,Trajet 12 | État: Vide. Identifié par IA.
-20.96927,-68.7045,Cluster 1 (BLEU),12,2.0,2622.26,Trajet 12 | État: Vide. Identifié par IA.
-20.969371667,-68.704393333,Cluster 2 (VERT),13,7.4,2623.27,Trajet 13 | État: Chargé. Identifié par IA.
-20.972615,-68.695301667,Cluster 2 (VERT),13,10.7,2628.3,Trajet 13 | État: Chargé. Identifié par IA.
-20.95987,-68.70836,Cluster 2 (VERT),13,5.4,2606.82,Trajet 13 | État: Chargé. Identifié par IA.
-20.959951667,-68.708371667,Cluster 0 (ROUGE),14,6.5,2604.51,Trajet 14 | État: Vide. Identifié par IA.
-20.969566667,-68.702628333,Cluster 0 (ROUGE),14,34.1,2603.01,Trajet 14 | État: Vide. Identifié par IA.
-20.97218,-68.701236667,Cluster 0 (ROUGE),14,1.5,2624.39,Trajet 14 | État: Vide. Identifié par IA.
-20.972138333,-68.701246667,Cluster 1 (BLEU),15,6.7,2625.07,Trajet 15 | État: Chargé. Identifié par IA.
-20.971821667,-68.695446667,Cluster 1 (BLEU),15,15.4,2627.9,Trajet 15 | État: Chargé. Identifié par IA.
-20.95984,-68.708361667,Cluster 1 (BLEU),15,5.2,2596.34,Trajet 15 | État: Chargé. Identifié par IA.
-20.959933333,-68.708376667,Cluster 1 (BLEU),16,9.4,2596.42,Trajet 16 | État: Vide. Identifié par IA.
-20.959668333,-68.714421667,Cluster 1 (BLEU),16,0.0,2601.61,Trajet 16 | État: Vide. Identifié par IA.
-20.972223333,-68.701556667,Cluster 1 (BLEU),16,6.3,2623.36,Trajet 16 | État: Vide. Identifié par IA.
-20.97214,-68.701618333,Cluster 1 (BLEU),17,9.8,2624.14,Trajet 17 | État: Chargé. Identifié par IA.
-20.972176667,-68.696281667,Cluster 1 (BLEU),17,10.7,2629.65,Trajet 17 | État: Chargé. Identifié par IA.
-20.959826667,-68.708353333,Cluster 1 (BLEU),17,0.2,2611.94,Trajet 17 | État: Chargé. Identifié par IA.
-20.959826667,-68.708353333,Cluster 1 (BLEU),18,0.0,2610.68,Trajet 18 | État: Vide. Identifié par IA.
-20.979166667,-68.703865,Cluster 1 (BLEU),18,31.7,2600.0,Trajet 18 | État: Vide. Identifié par IA.
-20.969065,-68.704686667,Cluster 1 (BLEU),18,1.1,2621.27,Trajet 18 | État: Vide. Identifié par IA.
-20.969086667,-68.704605,Cluster 0 (ROUGE),19,8.0,2621.92,Trajet 19 | État: Chargé. Identifié par IA.
-20.967361667,-68.701685,Cluster 0 (ROUGE),19,12.4,2624.98,Trajet 19 | État: Chargé. Identifié par IA.
-20.959861667,-68.708358333,Cluster 0 (ROUGE),19,1.3,2599.62,Trajet 19 | État: Chargé. Identifié par IA.
-20.959916667,-68.708383333,Cluster 0 (ROUGE),20,10.6,2598.12,Trajet 20 | État: Vide. Identifié par IA.
-20.97558,-68.740933333,Cluster 0 (ROUGE),20,0.0,2597.51,Trajet 20 | État: Vide. Identifié par IA.
-20.970105,-68.729523333,Cluster 0 (ROUGE),20,5.4,2622.73,Trajet 20 | État: Vide. Identifié par IA.
-20.970063333,-68.729445,Cluster 0 (ROUGE),21,8.5,2624.07,Trajet 21 | État: Chargé. Identifié par IA.
-20.972666667,-68.731968333,Cluster 0 (ROUGE),21,13.0,2623.3,Trajet 21 | État: Chargé. Identifié par IA.
-20.975776667,-68.735668333,Cluster 0 (ROUGE),21,0.0,2611.35,Trajet 21 | État: Chargé. Identifié par IA.
-20.975776667,-68.735668333,Cluster 1 (BLEU),22,0.0,2609.96,Trajet 22 | État: Vide. Identifié par IA.
-20.969675,-68.728868333,Cluster 1 (BLEU),22,0.6,2601.2,Trajet 22 | État: Vide. Identifié par IA.
-20.96981,-68.729751667,Cluster 1 (BLEU),22,1.2,2626.35,Trajet 22 | État: Vide. Identifié par IA.
-20.969835,-68.7297,Cluster 2 (VERT),23,6.5,2626.57,Trajet 23 | État: Chargé. Identifié par IA.
