Latitude_dd,Longitude_dd,normalized_pressure,phaseNb,Diagnostic
-20.96073,-68.70917,2603.1667862169834,0.0,2. PLEIN (Normal)
-20.962515,-68.710135,2603.6957450751547,0.0,2. PLEIN (Normal)
-20.963295,-68.703513333,2603.571477378105,0.0,2. PLEIN (Normal)
-20.964511667,-68.700641667,2602.3574112907413,0.0,2. PLEIN (Normal)
-20.967018333,-68.69839,2601.3958709551466,0.0,2. PLEIN (Normal)
-20.970651667,-68.695425,2601.3958709551466,0.0,2. PLEIN (Normal)
-20.973633333,-68.694905,2601.1368051149398,0.0,2. PLEIN (Normal)
-20.976465,-68.695481667,2599.917223876226,0.0,2. PLEIN (Normal)
-20.978215,-68.69807,2598.6948118440137,0.0,2. PLEIN (Normal)
-20.979031667,-68.700626667,2598.963394989311,0.0,2. PLEIN (Normal)
-20.979175,-68.703456667,2599.5722582849335,0.0,2. PLEIN (Normal)
-20.978906667,-68.705531667,2600.4355019797945,0.0,2. PLEIN (Normal)
-20.978086667,-68.707148333,2601.653033331837,0.0,2. PLEIN (Normal)
-20.978218333,-68.705833333,2602.8533359363555,0.0,2. PLEIN (Normal)
-20.977866667,-68.703288333,2602.2419591015664,0.0,2. PLEIN (Normal)
-20.977123333,-68.70069,2601.6318024305724,0.0,2. PLEIN (Normal)
-20.97512,-68.699538333,2601.3463724521216,0.0,2. PLEIN (Normal)
-20.973703333,-68.698598333,2601.2652200721955,0.0,2. PLEIN (Normal)
-20.971761667,-68.699951667,2601.346913960819,0.0,2. PLEIN (Normal)
-20.97008,-68.701983333,2602.03900929758,0.0,2. PLEIN (Normal)
-20.968998333,-68.703386667,2602.728971206008,0.0,2. PLEIN (Normal)
-20.968998333,-68.703386667,2603.5201002142935,0.0,2. PLEIN (Normal)
-20.96871,-68.703785,2604.331983013194,0.0,2. PLEIN (Normal)
-20.969048333,-68.703728333,2604.728773163356,0.0,2. PLEIN (Normal)
-20.96999,-68.702685,2604.5254852197113,0.0,2. PLEIN (Normal)
-20.970695,-68.702438333,2604.3168204097806,0.0,2. PLEIN (Normal)
-20.970015,-68.703576667,2603.5026925058323,0.0,2. PLEIN (Normal)
-20.969548333,-68.704308333,2602.6879789175982,0.0,2. PLEIN (Normal)
-20.969378333,-68.70429,2602.8006385439407,0.0,2. PLEIN (Normal)
-20.96933,-68.704386667,2603.3297818290507,0.0,2. PLEIN (Normal)
-20.96933,-68.704386667,2603.3437530079136,0.0,2. PLEIN (Normal)
-20.96933,-68.704386667,2602.607454204747,0.0,2. PLEIN (Normal)
-20.96933,-68.704386667,2601.8814567171326,0.0,2. PLEIN (Normal)
-20.96933,-68.704386667,2601.678111831845,0.0,2. PLEIN (Normal)
-20.96933,-68.704386667,2601.474465974653,0.0,2. PLEIN (Normal)
-20.96933,-68.704386667,2604.008443576944,0.0,2. PLEIN (Normal)
-20.969355,-68.704635,2608.2846649530966,0.0,2. PLEIN (Normal)
-20.969355,-68.704635,2613.2761319081783,0.0,2. PLEIN (Normal)
-20.969355,-68.704635,2621.0140563031214,0.0,2. PLEIN (Normal)
-20.969355,-68.704635,2628.7386890724456,0.0,2. PLEIN (Normal)
-20.969565,-68.703971667,2629.6145696046333,1.0,2. PLEIN (Normal)
-20.970196667,-68.70318,2628.901979924187,1.0,2. PLEIN (Normal)
-20.970418333,-68.702585,2628.8611572086484,1.0,2. PLEIN (Normal)
-20.969913333,-68.703066667,2629.774525357411,1.0,2. PLEIN (Normal)
-20.969351667,-68.703635,2630.6666015910973,1.0,2. PLEIN (Normal)
-20.968821667,-68.704331667,2629.8512372471732,1.0,2. PLEIN (Normal)
-20.96842,-68.704011667,2629.0375974120743,1.0,2. PLEIN (Normal)
-20.968848333,-68.70324,2627.2166528318617,1.0,2. PLEIN (Normal)
-20.969491667,-68.702408333,2624.7835423948463,1.0,2. PLEIN (Normal)
-20.971216667,-68.700415,2623.2668748991164,1.0,2. PLEIN (Normal)
-20.97314,-68.698773333,2625.095807506467,1.0,2. PLEIN (Normal)
-20.973896667,-68.698416667,2626.926789975499,1.0,2. PLEIN (Normal)
-20.974626667,-68.698683333,2626.765191078139,1.0,2. PLEIN (Normal)
-20.97487,-68.698583333,2626.1552784436526,1.0,2. PLEIN (Normal)
-20.974241667,-68.697851667,2625.7367530544843,1.0,2. PLEIN (Normal)
-20.973365,-68.698008333,2625.634926057884,1.0,2. PLEIN (Normal)
-20.97267,-68.698115,2625.6044269793933,1.0,2. PLEIN (Normal)
-20.971791667,-68.698318333,2625.8339740327624,1.0,2. PLEIN (Normal)
-20.971205,-68.698863333,2626.0629182625985,1.0,2. PLEIN (Normal)
-20.970608333,-68.699416667,2625.834466214554,1.0,2. PLEIN (Normal)
-20.970001667,-68.700005,2625.503914471775,1.0,2. PLEIN (Normal)
-20.969376667,-68.70054,2625.7015280853952,1.0,2. PLEIN (Normal)
-20.968736667,-68.701168333,2626.6421856807483,1.0,2. PLEIN (Normal)
-20.968126667,-68.701783333,2627.593803412016,1.0,2. PLEIN (Normal)
-20.967476667,-68.702343333,2629.016944186728,1.0,2. PLEIN (Normal)
-20.967768333,-68.701261667,2630.440369817016,1.0,2. PLEIN (Normal)
-20.96841,-68.70045,2629.740384458877,1.0,2. PLEIN (Normal)
-20.969841667,-68.698821667,2627.705454367889,1.0,2. PLEIN (Normal)
-20.970635,-68.697178333,2626.625811813468,1.0,2. PLEIN (Normal)
