Latitude_dd,Longitude_dd,Speed_mps,acceleration,jerk,normalized_pressure,phaseNb,RatioPayload,Etat_Charge,Alerte_Conduite
-20.961045,-68.709473333,9.722999572753906,0.1442017442326866,0.028880781764733646,2603.2724718935374,0.0,0.0,Vide,Souple
-20.962605,-68.709665,11.9350004196167,0.8089172911550127,0.22790065299801085,2603.802130166489,0.0,0.0,Vide,Souple
-20.963528333,-68.702948333,12.70699977874756,-0.14460740184567258,0.003341768927900091,2603.328468931427,0.0,0.0,Vide,Souple
-20.96497,-68.70015,13.940999984741213,-0.15104682128468194,-0.04370282574605368,2602.1079603752255,0.0,0.0,Vide,Souple
-20.968675,-68.696763333,15.279000282287598,0.01699510420493617,-0.00023432144735028085,2601.3958709551466,0.0,0.0,Vide,Souple
-20.971178333,-68.695391667,11.781000137329102,-0.15150322469444918,0.016649602388782152,2601.3958709551466,0.0,0.0,Vide,Souple
-20.974233333,-68.694815,13.27299976348877,-0.11239078301045118,-0.0034390102668465103,2600.8910146908092,0.0,0.0,Vide,Souple
-20.976858333,-68.696026667,14.25,0.010208094654274335,-0.018861742177778855,2599.6733857191666,0.0,0.0,Vide,Souple
-20.978438333,-68.698555,10.699999809265137,-0.19552191575282774,0.0020712328095940733,2598.4758650983454,0.0,0.0,Vide,Souple
-20.979111667,-68.70114,11.883999824523926,0.41077836623121056,0.1045910193739758,2599.0856557177017,0.0,0.0,Vide,Souple
-20.979203333,-68.703885,8.128000259399414,-0.3629947635298455,-0.052954122343053515,2599.696764120455,0.0,0.0,Vide,Souple
-20.978765,-68.705931667,9.053999900817873,0.14405767229820465,0.034940271679430944,2600.6794377439605,0.0,0.0,Vide,Souple
-20.977848333,-68.707143333,5.915999889373779,0.10243123764284488,0.06970415302032852,2601.897945242032,0.0,0.0,Vide,Souple
-20.978278333,-68.70533,10.494999885559082,0.19591340419185915,0.009810612655124713,2602.7315144711793,0.0,0.0,Vide,Souple
-20.977725,-68.702723333,12.552000045776367,0.22931884361959787,0.025477599566231243,2602.121601836693,0.0,0.0,Vide,Souple
-20.976805,-68.700368333,10.185999870300291,-0.010278233815116692,0.016336387159320155,2601.5107130624237,0.0,0.0,Vide,Souple
-20.974798333,-68.699231667,9.569000244140623,0.0,-0.008122698248714366,2601.3299902283015,0.0,0.0,Vide,Souple
-20.973296667,-68.698798333,10.54599952697754,0.38805079044417634,-0.02799196460235214,2601.248873360228,0.0,0.0,Vide,Souple
-20.97147,-68.700308333,10.392000198364258,0.2258579310709637,0.05338352041587198,2601.485532581572,0.0,0.0,Vide,Souple
-20.969723333,-68.702401667,11.678000450134276,-0.010330087308912361,0.00630146463235827,2602.175498094399,0.0,0.0,Vide,Souple
-20.968998333,-68.703386667,0.0,-0.17766421368436924,0.09182534109262218,2602.868303315144,0.0,0.0,Vide,Souple
-20.968998333,-68.703386667,0.0,0.0,0.0,2603.6819106145413,0.0,0.0,Vide,Souple
-20.968568333,-68.704106667,7.35699987411499,0.051170149578102675,-0.05724665307036765,2604.496038526819,0.0,0.0,Vide,Souple
-20.96934,-68.70342,8.79699993133545,-0.010222417434366674,-0.10024117928310002,2604.6881904100737,0.0,0.0,Vide,Souple
-20.96999,-68.702685,0.2135689274051187,0.032749582755045775,0.12073250856282967,2604.4851058291442,0.0,0.0,Vide,Souple
-20.970685,-68.702703333,5.9679999351501465,0.16536221443835797,0.10577593282103966,2604.1546846275237,0.0,0.0,Vide,Souple
-20.96988,-68.70375,4.423999786376953,-0.13444536561196313,0.014597790647218107,2603.3407844901494,0.0,0.0,Vide,Souple
-20.969391667,-68.704401667,4.166999816894531,0.1349334243279955,0.002669866300566611,2602.5266565778707,0.0,0.0,Vide,Souple
-20.969335,-68.70438,2.00600004196167,0.01019592125018278,-0.02041742346005886,2602.9065643532044,0.0,0.0,Vide,Souple
-20.96933,-68.704386667,0.0,0.0,0.0,2603.4356024080107,0.0,0.0,Vide,Souple
-20.96933,-68.704386667,0.0,0.0,0.0,2603.196967626669,0.0,0.0,Vide,Souple
-20.96933,-68.704386667,0.0,0.0,0.0,2602.461285671266,0.0,0.0,Vide,Souple
-20.96933,-68.704386667,0.0,0.0,0.0,2601.8410041149887,0.0,0.0,Vide,Souple
-20.96933,-68.704386667,0.0,0.0,0.0,2601.637431467291,0.0,0.0,Vide,Souple
-20.96933,-68.704386667,0.0,0.0,0.0,2601.433988970732,0.0,0.0,Vide,Souple
-20.969313333,-68.704455,1.440000057220459,0.23678944070084754,0.03706625569064494,2604.8618770829225,0.0,0.0,Vide,Souple
-20.969355,-68.704635,0.0,0.0,0.008234048787253864,2609.1316071929323,0.0,0.0,Vide,Souple
-20.969355,-68.704635,0.0,0.0,0.0,2614.8229131078465,0.0,0.0,Vide,Souple
-20.969355,-68.704635,0.0,0.0,0.0,2622.554037145395,0.0,0.0,Vide,Souple
-20.969365,-68.704476667,2.983999967575073,0.4953870715542633,0.09314477463657314,2630.1836961314525,1.0,1.0,Plein,Souple
-20.969671667,-68.703845,3.9609999656677246,0.2057588599844563,0.034992165035585124,2629.4721883286966,1.0,1.0,Plein,Souple
-20.970346667,-68.703011667,4.630000114440918,-0.08216986196211447,-0.03679586883217418,2628.759228525485,1.0,1.0,Plein,Souple
-20.970331667,-68.702631667,2.108999967575073,-0.03094429563181372,-0.026521018207996346,2629.0445116891988,1.0,1.0,Plein,Souple
-20.969781667,-68.703185,3.6010000705718994,-0.0719711891981991,-0.022725222177838338,2629.9576236005664,1.0,1.0,Plein,Souple
-20.969238333,-68.703768333,3.6010000705718994,-0.010379250673722841,-0.008161896913030155,2630.5035872949056,1.0,1.0,Plein,Souple
-20.968738333,-68.704448333,3.344000101089477,0.06172593141603385,0.03686862571140076,2629.6883531021194,1.0,1.0,Plein,Souple
-20.968463333,-68.703811667,4.423999786376953,0.1353428471819338,0.01922479622647715,2628.8767631411974,1.0,1.0,Plein,Souple
-20.968941667,-68.70314,2.7780001163482666,-0.07277135499345469,0.003706189623555138,2626.7337595908048,1.0,1.0,Plein,Souple
-20.969785,-68.702065,10.34000015258789,0.3515578892513862,-0.017905415838381972,2624.2979159549027,1.0,1.0,Plein,Souple
-20.971601667,-68.70001,11.987000465393066,0.031012542925958557,0.002037512359493464,2623.6327785641074,1.0,1.0,Plein,Souple
-20.973346667,-68.698638333,4.783999919891357,-0.3705482558617672,0.042405495120413486,2625.461711171458,1.0,1.0,Plein,Souple
-20.974006667,-68.698363333,2.983999967575073,0.09155626744293267,0.038634310505220246,2627.2522085005617,1.0,1.0,Plein,Souple
-20.974695,-68.698828333,3.190000057220459,-0.08192146643435311,0.032493721018724504,2626.642759531065,1.0,1.0,Plein,Souple
-20.974825,-68.698426667,3.549999952316284,0.06122449075999309,0.012130867584848316,2626.0321147933037,1.0,1.0,Plein,Souple
-20.974075,-68.69784,3.9609999656677246,0.12109908952180073,0.00753380530515552,2625.716030552719,1.0,1.0,Plein,Souple
-20.973213333,-68.69803,3.3949999809265137,-0.0309999942779541,0.006063592130715449,2625.61458994257,1.0,1.0,Plein,Souple
-20.972486667,-68.698148333,4.423999786376953,0.1436551831874755,0.005690528278260155,2625.6503215755083,1.0,1.0,Plein,Souple
-20.971678333,-68.698383333,2.674999952316284,-0.1039354415406296,-0.008608301798046586,2625.879365170843,1.0,1.0,Plein,Souple
-20.97109,-68.698986667,3.6010000705718994,-0.03133266430605592,0.016647419993686432,2626.1002113509376,1.0,1.0,Plein,Souple
-20.970473333,-68.699531667,3.910000085830689,0.0718993680264828,0.012304869089879513,2625.768228703148,1.0,1.0,Plein,Souple
-20.96987,-68.70012,3.755000114440918,0.03082466819087211,0.004159591809701595,2625.4378493420395,1.0,1.0,Plein,Souple
-20.969243333,-68.700661667,3.806999921798706,0.031155129074260175,-0.0020204915156006253,2625.8875440967718,1.0,1.0,Plein,Souple
-20.968608333,-68.70129,3.6010000705718994,-0.07175600916283903,-0.014302573198269662,2626.8310633808674,1.0,1.0,Plein,Souple
-20.968005,-68.701913333,3.6530001163482666,-0.04154000528530748,-0.0063053832208729305,2627.8749450729692,1.0,1.0,Plein,Souple
-20.967255,-68.70223,6.122000217437744,0.26648084484035783,0.01421887918212757,2629.3029851681563,1.0,1.0,Plein,Souple
-20.967923333,-68.70109,4.783999919891357,-0.10310307873569703,0.012017781640183014,2630.7249295990364,1.0,1.0,Plein,Souple
-20.968573333,-68.70022,6.790999889373779,0.41146639002424684,0.056122131759400215,2629.323046372707,1.0,1.0,Plein,Souple
-20.970118333,-68.698331667,11.163000106811523,-0.17447657493422453,-0.07572142542111196,2627.2973126890956,1.0,1.0,Plein,Souple
-20.970781667,-68.697066667,4.013000011444092,-0.010228663784859034,0.027539565119799186,2627.112749639728,1.0,1.0,Plein,Souple
-20.971576667,-68.696636667,3.497999906539917,-0.051420610785669375,0.00021870872120614628,2629.553884460765,1.0,1.0,Plein,Souple
-20.972238333,-68.696326667,2.88100004196167,0.0,0.006265301771666493,2631.9490072889243,1.0,1.0,Plein,Souple
-20.972946667,-68.695955,3.344000101089477,-0.010199975967407316,0.012368655397910648,2630.6474944205283,1.0,1.0,Plein,Souple
-20.973681667,-68.695643333,3.549999952316284,0.030987598659269686,0.00619504159941635,2629.3518811178446,1.0,1.0,Plein,Souple
-20.97455,-68.695385,4.064000129699707,0.0202556859900274,-0.0020760367245634933,2628.8999122903474,1.0,1.0,Plein,Souple
-20.975361667,-68.695126667,4.013000011444092,0.0,-0.02097530266140266,2628.9751597477557,1.0,1.0,Plein,Souple
-20.974581667,-68.695013333,4.88700008392334,-0.05221454146032302,-0.03562947121378543,2628.975695596597,1.0,1.0,Plein,Souple
-20.973721667,-68.69517,3.447000026702881,0.010605760665389622,0.010593114609587763,2628.6963427149462,1.0,1.0,Plein,Souple
-20.972831667,-68.69529,3.755000114440918,-0.05172411568004094,-0.004194898544879952,2628.4161835842515,1.0,1.0,Plein,Souple
-20.972006667,-68.6954,4.630000114440918,0.09247060123194838,-0.0017158136067848767,2628.0944365420473,1.0,1.0,Plein,Souple
-20.97121,-68.695591667,3.2920000553131104,0.05046141228251268,0.016006976590650267,2627.7632370804754,1.0,1.0,Plein,Souple
-20.97025,-68.6957,4.732999801635742,-0.04129090492632799,-0.0209474735341446,2628.071927337077,1.0,1.0,Plein,Souple
-20.969513333,-68.696036667,3.190000057220459,0.020913739092228784,0.008466327237486486,2629.29322720836,1.0,1.0,Plein,Souple
-20.969043333,-68.69666,3.344000101089477,0.020477169904142844,0.010221331688807076,2630.5028321690183,1.0,1.0,Plein,Souple
-20.96819,-68.69755,8.899999618530273,0.36077718154558003,0.00029962053398807404,2630.706113580285,1.0,1.0,Plein,Souple
-20.966558333,-68.699075,6.019000053405762,-0.4447063463693335,-0.0023598661450736974,2630.909468234712,1.0,1.0,Plein,Souple
-20.965911667,-68.699625,3.086999893188477,0.030686987740489082,0.012165324640213807,2630.238341719029,1.0,1.0,Plein,Souple
-20.965443333,-68.70005,2.931999921798706,0.030720088788923985,0.008197135906160011,2629.0199228509205,1.0,1.0,Plein,Souple
-20.964771667,-68.700683333,4.166999816894531,-0.03142221772292199,-0.004283839921319221,2628.170474795482,1.0,1.0,Plein,Souple
-20.964298333,-68.701458333,3.910000085830689,0.04144870995161542,0.00833978062636064,2628.709015867387,1.0,1.0,Plein,Souple
-20.964011667,-68.702306667,3.806999921798706,0.05221453893108362,0.014699597899624911,2629.243453353157,1.0,1.0,Plein,Souple
-20.963711667,-68.703145,3.447000026702881,-0.01019793604175114,0.0020335739597247314,2630.068403383396,1.0,1.0,Plein,Souple
-20.963433333,-68.704013333,4.269999980926514,0.0,-0.014186519196854864,2630.9586129069717,1.0,1.0,Plein,Souple
-20.963225,-68.704873333,3.447000026702881,-0.010157315428593135,0.00624541367049366,2631.460575284965,1.0,1.0,Plein,Souple
-20.962913333,-68.706115,8.79699993133545,0.3028826917158157,-0.011318397796406122,2631.423118787489,1.0,1.0,Plein,Souple
-20.962853333,-68.708888333,12.552000045776367,-0.10173851039821943,-0.06291493412560524,2631.3892027247293,1.0,1.0,Plein,Souple
-20.96262,-68.710675,7.202000141143799,0.318936270774859,0.04118805166133981,2631.5548567737615,1.0,1.0,Plein,Souple
-20.96147,-68.710365,6.790999889373779,0.020168335565638407,-0.020330616353829593,2631.7212153916435,1.0,1.0,Plein,Souple
-20.960581667,-68.709521667,3.703999996185303,-0.12249356963263887,0.00019514733561869555,2632.4574830018782,1.0,1.0,Plein,Souple
-20.959853333,-68.709155,4.630000114440918,0.1441730076664889,0.010207556110528197,2633.5475121661143,1.0,1.0,Plein,Souple
-20.95979,-68.708713333,0.2060000002384185,-0.06219709296875578,0.030942526809375853,2633.3794672208605,1.0,1.0,Plein,Souple
-20.960078333,-68.708408333,0.1539999991655349,-0.5904972598183623,-0.0919919322722119,2628.5693121753734,1.0,1.0,Plein,Souple
-20.959828333,-68.708358333,0.0,-0.030867910201113635,0.030852986968871704,2623.762460001419,1.0,1.0,Plein,Souple
-20.959828333,-68.708358333,0.0,0.0,0.0,2616.240259042413,1.0,1.0,Plein,Souple
-20.959828333,-68.708358333,0.3089999854564667,0.06178764045886591,0.01235505725941835,2608.1087412966303,1.0,1.0,Plein,Souple
-20.960813333,-68.709178333,8.642999649047852,0.05151745471034976,0.00620373968119774,2603.7700717510206,2.0,0.0,Vide,Souple
-20.962428333,-68.710468333,7.459000110626221,-0.3387868175832851,-0.030651185566921722,2604.7876096116615,2.0,0.0,Vide,Souple
-20.963041667,-68.712411667,9.979999542236328,-0.07266867392587233,-0.04747444808072764,2605.778978965884,2.0,0.0,Vide,Souple
-20.964858333,-68.714231667,11.883999824523926,-0.04133062946157587,-0.03516096810156024,2605.1691883465273,2.0,0.0,Vide,Souple
-20.967176667,-68.71522,11.21500015258789,-0.010247064785614176,2.7392134976531255e-05,2604.559031675533,2.0,0.0,Vide,Souple
-20.96765,-68.71495,8.746000289916992,0.4620758606042231,0.05556529382814278,2604.3373410994695,2.0,0.0,Vide,Souple
-20.96558,-68.713456667,11.678000450134276,0.04110962511187582,-0.02088194308944703,2604.3585382137317,2.0,0.0,Vide,Souple
-20.96474,-68.710773333,12.604000091552734,-0.04146544499858955,-0.043375785270307395,2604.221910245878,2.0,0.0,Vide,Souple
-20.964931667,-68.708248333,7.664999961853027,-0.43332670076780666,-0.0007428076754318866,2603.509314417826,2.0,0.0,Vide,Souple
-20.965573333,-68.710396667,11.52400016784668,-0.020547992906038634,0.0020584469219608967,2602.796889500203,2.0,0.0,Vide,Souple
-20.966753333,-68.712383333,8.847999572753906,0.2652776639823131,0.12595055219154458,2602.9154255578883,2.0,0.0,Vide,Souple
-20.968733333,-68.713146667,10.597999572753906,0.1857199418537929,0.04544180791141656,2603.2201523527515,2.0,0.0,Vide,Souple
-20.971126667,-68.713078333,10.288999557495115,0.1530226655017155,0.0751628316047874,2603.3561697348505,2.0,0.0,Vide,Souple
-20.973541667,-68.712676667,10.494999885559082,0.1247980639949728,0.07491139391932133,2603.254671451796,2.0,0.0,Vide,Souple
-20.975313333,-68.711688333,7.870999813079834,-0.25663536140113047,-0.042972696183826875,2603.1629148558686,2.0,0.0,Vide,Souple
-20.975473333,-68.710561667,4.166999816894531,-0.0515650022380444,0.14423119783735447,2603.6714032260693,2.0,0.0,Vide,Souple
